SOL·LICITUD,NOM,TRAMITAT,POTÈNCIA (MW),SUPERFÍCIE (Ha),MUNICIPI,CODI  MUNICIPI,COMARCA,CODI COMARCA,VEGUERIA,SUPERFÍCIE AL MUNICIPI (Ha),SOL·LICITANT,ESTAT,TIPUS DE SÒL,TRÀMIT AMBIENTAL,ESTAT AMBIENTAL,DATA PONÈNCIA,SENTIT ACORD
FUE-2021-02051935,PSFV Greentarraco 1,Catalunya,40.51,62.43,Rasquera,431212,Ribera d'Ebre,30,Terres de l'Ebre,35.88,GREENCELLS PRODUCCIÓN FOTOVOLTAICA 4 S.L.,No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,05/10/2023,DIA Desfavorable
FUE-2021-02051935,PSFV Greentarraco 1,Catalunya,0,0,Tivissa,431508,Ribera d'Ebre,30,Terres de l'Ebre,13.28,GREENCELLS PRODUCCIÓN FOTOVOLTAICA 4 S.L.,No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,05/10/2023,DIA Desfavorable
FUE-2021-02051935,PSFV Greentarraco 1,Catalunya,0,0,Ginestar,430672,Ribera d'Ebre,30,Terres de l'Ebre,13.27,GREENCELLS PRODUCCIÓN FOTOVOLTAICA 4 S.L.,No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,05/10/2023,DIA Desfavorable
FUE-2021-02060221,PSFV Perafort Mapesol I,Catalunya,44.9,61.34,Alcover,430056,Alt Camp,01,Camp de Tarragona,52.6,"MAPESOL TERRA, SL",No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2021-02060221,PSFV Perafort Mapesol I,Catalunya,0,0,"Masó, la",430803,Alt Camp,01,Camp de Tarragona,8,"MAPESOL TERRA, SL",No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2021-02060221,PSFV Perafort Mapesol I,Catalunya,0,0,"Milà, el",430831,Alt Camp,01,Camp de Tarragona,0.74,"MAPESOL TERRA, SL",No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,Informació Pública (DOGC),,
FUE-2021-02151174,PSFV Vall Morat,Catalunya,41,62.75,Manlleu,081120,Osona,24,Catalunya Central,50,MALPICA DIRECTORSHIP SL,No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,03/08/2023,DIA Desfavorable
FUE-2021-02151174,PSFV Vall Morat,Catalunya,0,0,Folgueroles,080832,Osona,24,Catalunya Central,10,MALPICA DIRECTORSHIP SL,No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,03/08/2023,DIA Desfavorable
FUE-2021-02151174,PSFV Vall Morat,Catalunya,0,0,Torelló,082858,Osona,24,Catalunya Central,2.75,MALPICA DIRECTORSHIP SL,No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,03/08/2023,DIA Desfavorable
FUE-2021-02285672,PSFV Geoide II,Catalunya,26.6,41.35,Vallmoll,431606,Alt Camp,01,Camp de Tarragona,41.35,"Energia Geoide II, SL",No autoritzat,Sòl no urbanitzable,Supòsit d'AIA,DIA/IIA Finalitzats,02/03/2023,DIA Desfavorable
